cue	response	domain	source_url
evangelizer of spain & aka santiago	james	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
mother of constantine	helena	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
huguenot massacre day	bartholomew	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
inquisition & order of non-franciscan friars & toulouse	dominic	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
lamb	agnes	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
hazelnuts	filbert	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
condemned to death on the wheel & catalina island	catherine of alexandria	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
july 15th fortelling the weather	swithun	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
hawaii lepers	father damien	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
translator of vulgate bible & patron of librarians	jerome	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
veil with jesus's face on it	veronica	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
inventor of slavic alphabet script & brother of methodius	cyril	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
december 13th in sweden	lucia	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
"dance" & the disease chorea	vitus	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
found piece of the true cross & mother of constantine	helena	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
patron of s.america & first western hemisphere saint	rose of lima	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
pamplona	fermin	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
sicily	lucy	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
“st. elsewhere”	eligius	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
october 31	all hallows' eve (halloween)	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
november 1	all saints' day (hallowmas)	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
november 2	all souls' day	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
radio and tv's "the saint"	simon templar	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
nobel peace prize for work with the poor in india & "saint of the gutters" nun	mother teresa	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
person whose duty was to present arguments against sainthood	devil's advocate	saints & sainthood	https://jboard.tv/viewtopic.php?t=343&start=0
maine to georgia & east coast trail	appalachian trail	most commonly appearing trails	https://jboard.tv/viewtopic.php?t=343&start=0
texas to kansas & cattle trail & named for oklahoma trader	chisholm trail	most commonly appearing trails	https://jboard.tv/viewtopic.php?t=343&start=0
boston	freedom trail	most commonly appearing trails	https://jboard.tv/viewtopic.php?t=343&start=0
columia/snake/platte rivers & mapped by john c. fremont	oregon	most commonly appearing trails	https://jboard.tv/viewtopic.php?t=343&start=0
new mexico & originally started in missouri	santa fe trail	most commonly appearing trails	https://jboard.tv/viewtopic.php?t=343&start=0
virginia to kentucky & cumberland gap  & daniel boone	wilderness road	most commonly appearing trails	https://jboard.tv/viewtopic.php?t=343&start=0
north vietnam to south vietnam (through laos and cambodia)	ho chi minh trail	most commonly appearing trails	https://jboard.tv/viewtopic.php?t=343&start=0
forced march of cherokee from deep south to oklahoma (fort gibson)	trail of tears	most commonly appearing trails	https://jboard.tv/viewtopic.php?t=343&start=0
arizona	apache trail	less commonly appearing trails	https://jboard.tv/viewtopic.php?t=343&start=0
wyoming (fort laramie) to montana & cattle trail	bozeman trail	less commonly appearing trails	https://jboard.tv/viewtopic.php?t=343&start=0
missouri (independence) to california (sacramento) & gold rush & offshoot of oregon trail	california trail	less commonly appearing trails	https://jboard.tv/viewtopic.php?t=343&start=0
south dakota	centennial trail	less commonly appearing trails	https://jboard.tv/viewtopic.php?t=343&start=0
spanish "royal road" & sonoma to san diego (california) & leon to madrid (spain)	el camino real	less commonly appearing trails	https://jboard.tv/viewtopic.php?t=343&start=0
replaced by erie canal	mohawk trail	less commonly appearing trails	https://jboard.tv/viewtopic.php?t=343&start=0
illinois (nauvoo) to utah	mormon pioneer trail	less commonly appearing trails	https://jboard.tv/viewtopic.php?t=343&start=0
mississippi (natchez) to tennessee (nashville)	natchez trace	less commonly appearing trails	https://jboard.tv/viewtopic.php?t=343&start=0
new mexico (santa fe) to california (los angeles)	old spanish trail	less commonly appearing trails	https://jboard.tv/viewtopic.php?t=343&start=0
eastern frontiersman & cumberland gap & wilderness road	daniel boone (1734-1820)	trailblazers	https://jboard.tv/viewtopic.php?t=343&start=0
discovery" (1804-1806) & sacagawea	william clark (1770-1838)	trailblazers	https://jboard.tv/viewtopic.php?t=343&start=0
discovery" (1804-1806) & sacagawea	meriwether lewis (1774-1809)	trailblazers	https://jboard.tv/viewtopic.php?t=343&start=0
pike's peak & colorado explorer & killed in toronto during war of 1812	zebulon pike (1778-1813)	trailblazers	https://jboard.tv/viewtopic.php?t=343&start=0
mexico (taos) & guide for fremont	kit carson (1809-1868)	trailblazers	https://jboard.tv/viewtopic.php?t=343&start=0
presidential candidate & one of first two california senators	john	trailblazers	https://jboard.tv/viewtopic.php?t=343&start=0
thejeopardyfan wrote:CZECHOSLOVAKIA	antonin "new world symphony" dvorak	trailblazers	https://jboard.tv/viewtopic.php?t=343&start=0
"hungary & first christian martyr & stoned to death	stephen"	royalty	https://jboard.tv/viewtopic.php?t=343&start=0
Long-distance runner + Oregon + died young	Steve Prefontaine	royalty	https://jboard.tv/viewtopic.php?t=343&start=0
Home Runs + October	Reggie Jackson	royalty	https://jboard.tv/viewtopic.php?t=343&start=0
Supreme Court	Byron "Whizzer" White	royalty	https://jboard.tv/viewtopic.php?t=343&start=0
Whitey Ford - Look out for him on "Ford" themed boards. Yankee + Ford	Whitey. That's all you need.	royalty	https://jboard.tv/viewtopic.php?t=343&start=0
Johnny Bench - Catcher in the 1960s and 1970s, widely considered an all-time great. Reds + Catcher	Bench (as they never use Ernie Lombardi)	royalty	https://jboard.tv/viewtopic.php?t=343&start=0
Mark McGwire - Former A's/Cardinals first baseman, prolific power hitter, broke Maris' single-season record. Usually, Home Runs + 90s	McGwire	royalty	https://jboard.tv/viewtopic.php?t=343&start=0
Chad Ochocinco (football - Dancing with the Stars, legal name change last name	jersey number)	royalty	https://jboard.tv/viewtopic.php?t=343&start=0
Yankees owner	The Boss = fired Billy Martin a lot = George Steinbrenner	royalty	https://jboard.tv/viewtopic.php?t=343&start=0
Russian poet	Alexander Pushkin		https://jboard.tv/viewtopic.php?t=343&start=20
Diarist	1 of 3, depending on TOM(s)		https://jboard.tv/viewtopic.php?t=343&start=20
Johanna Spyri Novel/Heroine	Heidi		https://jboard.tv/viewtopic.php?t=343&start=20
Norwegian Playwright/Author	Henrik Ibsen		https://jboard.tv/viewtopic.php?t=343&start=20
Swedish Playwright	August Strindberg		https://jboard.tv/viewtopic.php?t=343&start=20
Irish Poet	William Butler Yeats		https://jboard.tv/viewtopic.php?t=343&start=20
Irish Novelist	James Joyce		https://jboard.tv/viewtopic.php?t=343&start=20
Welsh Poet	Dylan Thomas, but...		https://jboard.tv/viewtopic.php?t=343&start=20
Early Welsh Poet	Taliesin		https://jboard.tv/viewtopic.php?t=343&start=20
Jazz Age Author/Novelist	F. Scott Fitzgerald		https://jboard.tv/viewtopic.php?t=343&start=20
Colombian Author/Writer/Novelist	Gabriel Garcia Marquez		https://jboard.tv/viewtopic.php?t=343&start=20
Chilean Poet/Writer	Pablo Neruda		https://jboard.tv/viewtopic.php?t=343&start=20
Italian playwright	Luigi Pirandello		https://jboard.tv/viewtopic.php?t=343&start=20
Play by Luigi Pirandello	Six Characters in Search of an Author		https://jboard.tv/viewtopic.php?t=343&start=20
Italian sonnet writer	Petrarch (who wrote "Petrarchan sonnets" to "Laura")		https://jboard.tv/viewtopic.php?t=343&start=20
Argentine Writer	Jorge Luis Borges (from Buenos Aires)		https://jboard.tv/viewtopic.php?t=343&start=20
Basketball player who also played baseball; 2010-11-09; He hit 3 HRs for the Double-A Birmingham barons; in 1996 he was season and finals NBA MVP”	Michael Jordan		https://jboard.tv/viewtopic.php?t=343&start=60
Former Indiana coach won 900th game Jan 16, 2008	Bobby Knight; fired in 2000 for attitude, then went to coach Texas Tech		https://jboard.tv/viewtopic.php?t=343&start=60
“Royal rapper” who led her team to two state championships at Irving High	Queen Latifah		https://jboard.tv/viewtopic.php?t=343&start=60
Oddly Related to Basketball: Rabbit Angstrom, in John Updike's Rabbit novel series, dies of heart attack on a basketball court	FJ 2010-11-02;		https://jboard.tv/viewtopic.php?t=343&start=60
Yes brain teasing me: 'aren't there four now? DOH! Thanks for the head up, lol & yes I see Pavlov is: 'see food ->drool'; so better is: 'Boston Celtics; the neighbors	Larry Bird'		https://jboard.tv/viewtopic.php?t=343&start=60
So best to remember Bizet	Carmen and Carmen = Bizet		https://jboard.tv/viewtopic.php?t=343&start=120
Cigarette Song	Carmen (which = Bizet)		https://jboard.tv/viewtopic.php?t=343&start=120
Spanish opera	Carmen		https://jboard.tv/viewtopic.php?t=343&start=120
Spanish opera composer	Bizet		https://jboard.tv/viewtopic.php?t=343&start=120
Gypsy	Carmen		https://jboard.tv/viewtopic.php?t=343&start=120
(And Finnish conductor	Esa-Pekka Salonen, but there's only one archive hit for that.)		https://jboard.tv/viewtopic.php?t=343&start=120
Numbered poem	Emily Dickinson		https://jboard.tv/viewtopic.php?t=343&start=120
